#=================================================================
# MBR Data over Time
# Report suite: BambooHR - Production
"# Date: May 1, 2025 - May 31, 2026"
# Segments: Marketable Visits
#=================================================================


##############################################
# Freeform table - Month (13 items out of 13)
##############################################
,Visits,Form Fills,Form Fill CVR
Month,5188238,234951,0.04528531651786213
2025-05-01,439057,27471,0.06256818590752454
2025-06-01,451829,21932,0.04854048766236784
2025-07-01,407759,22249,0.05456409300591771
2025-08-01,418519,20064,0.04794047582069153
2025-09-01,408304,21327,0.05223314001332341
2025-10-01,434138,18942,0.04363128774721402
2025-11-01,365446,13485,0.036900116569889944
2025-12-01,363965,12379,0.03401151209594329
2026-01-01,366782,10415,0.028395613743313466
2026-02-01,343771,7560,0.021991383799098818
2026-03-01,335212,12536,0.03739722921613785
2026-04-01,347190,18996,0.0547135574181284
2026-05-01,506330,27595,0.054500029624948154
