#=================================================================
# Projection Data
# Report suite: BambooHR - Production
"# Date: May 4, 2026 - Jun 2, 2026"
# Segments: Marketable Visits
#=================================================================


##############################################
# Freeform table - Day (30 items out of 30)
##############################################
,Visits,Form Fills,Form Fill CVR
Day,509017,25479,0.05005530267162001
2026-05-04,22078,1262,0.05716097472597156
2026-05-05,21153,1589,0.07511936841110008
2026-05-06,19075,1345,0.07051114023591087
2026-05-07,21484,2658,0.12371997765779184
2026-05-08,17535,1210,0.06900484744796122
2026-05-09,8891,578,0.06500956022944551
2026-05-10,11131,517,0.046446860120384514
2026-05-11,24121,1077,0.044649890137224826
2026-05-12,23678,1439,0.06077371399611454
2026-05-13,20985,1053,0.05017869907076483
2026-05-14,22650,1577,0.06962472406181015
2026-05-15,18366,823,0.04481106392246543
2026-05-16,8948,436,0.048725972284309346
2026-05-17,10869,489,0.04499033949765388
2026-05-18,24011,1634,0.06805214276789805
2026-05-19,22763,1352,0.059394631639063396
2026-05-20,20150,645,0.032009925558312655
2026-05-21,21432,713,0.03326801045166107
2026-05-22,14755,388,0.02629617078956286
2026-05-23,7229,165,0.02282473371144003
2026-05-24,10190,199,0.019528949950932288
2026-05-25,14083,457,0.03245047220052546
2026-05-26,21705,598,0.027551255471089612
2026-05-27,18303,614,0.033546413156313175
2026-05-28,17528,551,0.031435417617526246
2026-05-29,13349,372,0.02786725597423028
2026-05-30,6621,170,0.02567587977646881
2026-05-31,7405,199,0.02687373396353815
2026-06-01,18719,530,0.02831347828409637
2026-06-02,19945,839,0.0420656806217097
